DATE	LAUCN300010000000003A	LAUCN300030000000003A	LAUCN300050000000003A	LAUCN300070000000003A	LAUCN300090000000003A	LAUCN300110000000003A	LAUCN300130000000003A	LAUCN300150000000003A	LAUCN300170000000003A	LAUCN300190000000003A	LAUCN300210000000003A	LAUCN300230000000003A	LAUCN300250000000003A	LAUCN300270000000003A	LAUCN300290000000003A	LAUCN300310000000003A	LAUCN300330000000003A	LAUCN300350000000003A	LAUCN300370000000003A	LAUCN300390000000003A	LAUCN300410000000003A	LAUCN300430000000003A	LAUCN300450000000003A	LAUCN300470000000003A	LAUCN300490000000003A	LAUCN300510000000003A	LAUCN300530000000003A	LAUCN300550000000003A	LAUCN300570000000003A	LAUCN300590000000003A	LAUCN300610000000003A	LAUCN300630000000003A	LAUCN300650000000003A	LAUCN300670000000003A	LAUCN300690000000003A	LAUCN300710000000003A	LAUCN300730000000003A	LAUCN300750000000003A	LAUCN300770000000003A	LAUCN300790000000003A	LAUCN300810000000003A	LAUCN300830000000003A	LAUCN300850000000003A	LAUCN300870000000003A	LAUCN300890000000003A	LAUCN300910000000003A	LAUCN300930000000003A	LAUCN300950000000003A	LAUCN300970000000003A	LAUCN300990000000003A	LAUCN301010000000003A	LAUCN301030000000003A	LAUCN301050000000003A	LAUCN301070000000003A	LAUCN301090000000003A	LAUCN301110000000003A
2000-01-01	4.3	9.8	5.7	4.7	4.6	3.8	5.1	3.9	4.7	4.8	4.2	7.4	3.8	5.4	5.5	3.7	4.4	8.4	5.5	6.4	5.1	4.9	4.7	5.7	4.2	4.4	8.7	3.8	5.2	6.1	6.7	4.2	6.3	5.3	6.8	4.7	4.9	4.0	6.0	5.4	5.5	5.5	7.3	6.1	7.2	4.8	6.0	4.7	3.3	4.5	4.2	4.8	4.6	5.0	4.6	4.2
2001-01-01	3.4	11.8	4.6	4.4	4.1	3.2	4.5	3.5	4.0	4.3	3.6	6.6	2.9	5.2	5.3	3.4	3.2	7.4	4.7	6.2	4.3	4.3	4.1	7.2	4.0	3.9	8.6	2.9	4.4	5.7	6.4	3.9	5.6	4.7	4.5	4.2	4.3	3.1	5.6	5.2	5.0	4.7	5.8	5.9	7.2	4.0	5.2	3.7	3.0	3.9	3.5	3.4	4.2	4.1	3.5	3.6
2002-01-01	3.7	10.5	4.8	4.0	3.7	3.2	4.2	3.4	3.7	4.3	3.4	5.9	3.2	4.6	5.1	3.4	3.5	6.7	4.8	5.7	4.1	4.2	4.8	6.6	3.9	4.0	8.9	2.6	4.4	5.5	6.7	3.8	6.1	4.5	5.6	4.4	4.4	3.6	6.1	5.0	5.1	4.9	5.7	5.7	7.1	4.0	5.0	4.0	3.0	3.8	3.5	4.0	4.0	5.1	3.8	3.5
2003-01-01	3.8	11.6	4.7	4.7	3.9	3.1	4.5	3.4	3.9	4.5	3.4	6.5	3.1	5.0	5.9	3.6	3.5	7.9	6.3	5.7	4.3	4.3	4.3	6.2	3.9	4.1	12.2	3.4	4.8	5.7	7.0	4.1	6.1	4.9	6.4	4.5	5.0	4.2	6.1	4.8	5.8	4.5	6.0	5.5	7.3	4.2	5.2	3.9	2.6	4.0	3.6	3.7	4.1	4.7	4.2	3.7
2004-01-01	3.9	9.6	4.7	4.5	4.3	3.4	4.5	3.5	4.3	4.3	4.2	6.8	3.1	5.4	5.9	3.6	3.9	8.5	6.3	5.8	4.7	4.6	4.4	6.3	4.1	4.3	10.4	3.0	4.4	6.1	6.5	4.2	6.3	4.7	5.9	4.7	5.7	4.3	6.5	5.5	5.8	3.7	6.8	5.5	7.3	4.1	5.1	3.9	2.3	4.2	3.6	4.8	4.5	4.7	3.9	3.8
2005-01-01	3.6	9.1	4.5	4.1	3.8	4.0	4.3	3.7	4.0	3.8	3.7	6.2	2.8	5.2	4.9	3.2	4.2	7.8	4.8	6.0	4.5	4.2	4.8	5.8	4.0	4.7	8.8	3.6	3.7	4.8	6.1	3.9	5.6	4.2	5.3	4.4	5.1	3.9	6.4	5.1	5.2	3.5	6.8	6.0	6.9	3.7	4.5	3.5	2.2	3.7	3.4	4.2	4.2	4.3	3.7	3.5
2006-01-01	3.0	6.9	3.4	3.3	3.0	3.6	3.4	2.8	3.2	3.2	2.9	4.9	2.0	4.2	3.9	2.4	3.6	6.8	3.8	4.5	3.9	3.6	3.5	4.9	3.2	3.2	6.9	2.6	3.1	4.4	5.0	3.2	4.0	3.3	4.4	3.8	4.0	3.2	5.1	4.0	4.2	2.7	6.1	5.6	5.3	3.0	3.8	2.8	1.7	3.1	2.8	3.3	3.3	3.0	2.8	2.9
2007-01-01	2.8	6.7	3.8	3.2	2.9	3.1	3.5	3.1	3.4	2.7	2.8	4.8	2.0	4.0	4.0	2.6	3.0	8.0	3.9	4.8	4.1	3.1	3.7	5.5	3.0	2.9	7.5	2.2	2.9	5.7	4.7	3.4	5.4	3.5	5.1	4.2	4.0	3.2	5.3	3.5	4.5	2.4	6.3	5.2	6.6	2.7	3.6	3.1	1.8	3.1	2.5	3.2	3.5	3.4	2.7	2.7
2008-01-01	4.1	8.3	4.5	5.6	4.3	3.3	4.7	3.6	4.2	3.7	3.7	6.7	2.6	4.8	6.7	4.2	3.5	9.2	5.0	6.7	5.1	4.6	4.4	7.5	4.2	4.2	10.8	2.8	4.2	7.0	7.2	5.0	5.9	5.3	5.6	5.1	5.5	3.6	7.7	4.2	6.6	3.2	7.4	6.3	10.4	3.2	4.9	4.4	2.7	4.2	3.3	4.2	4.3	4.1	3.6	3.8
2009-01-01	5.0	9.5	5.1	7.7	5.7	3.8	5.4	4.0	4.9	4.1	4.7	7.6	3.2	5.5	11.8	7.0	3.7	9.3	5.2	10.4	5.5	6.4	5.3	9.2	5.0	4.3	14.8	3.2	6.3	8.5	10.5	6.3	6.6	8.0	5.5	5.6	6.3	4.0	9.1	4.1	9.2	4.7	7.8	6.7	15.6	4.3	6.3	6.2	4.6	5.0	4.3	5.2	5.2	5.7	4.7	4.9
2010-01-01	5.9	11.0	6.7	7.4	6.4	3.9	6.4	4.4	4.5	3.5	4.2	6.1	3.1	6.4	12.0	6.8	3.5	9.8	6.7	9.3	5.8	6.3	6.4	9.0	5.5	4.4	15.0	2.9	7.6	8.0	12.5	7.3	6.9	8.8	5.4	6.8	5.9	3.7	7.6	5.1	9.4	3.8	6.9	7.0	13.1	3.7	6.5	5.8	5.5	6.0	4.6	5.3	4.9	7.9	4.2	5.9
2011-01-01	6.1	12.0	7.1	7.4	5.7	3.9	6.4	4.6	4.1	3.5	3.7	6.2	2.6	6.1	10.9	6.0	3.9	11.4	5.1	9.1	6.3	6.3	6.2	9.1	5.3	4.0	14.8	3.0	7.3	7.4	12.1	6.7	6.6	8.3	5.7	6.9	6.0	4.7	7.7	5.5	9.0	3.1	7.1	7.3	13.4	3.6	6.6	5.2	4.7	5.7	4.7	5.6	4.7	8.0	4.2	5.5
2012-01-01	5.4	12.1	6.4	7.5	4.7	3.2	5.6	3.9	3.6	3.2	3.3	5.6	2.1	5.4	9.0	5.1	3.1	9.9	4.6	8.1	5.8	5.5	5.2	7.7	4.9	4.2	12.5	2.9	6.2	5.5	10.9	5.9	5.4	7.0	4.3	6.0	4.9	3.7	6.5	4.3	7.6	2.8	6.6	6.8	11.5	3.0	6.1	4.5	3.9	4.9	4.2	5.0	4.2	6.3	3.2	4.6
2013-01-01	4.7	14.0	6.1	6.4	4.5	3.1	5.1	3.7	3.4	3.2	3.2	4.9	2.0	4.9	7.7	4.1	3.1	10.1	5.0	7.6	6.6	4.9	4.9	6.5	4.4	3.5	13.0	2.4	5.5	5.2	10.4	5.2	5.0	6.3	4.7	5.9	4.9	3.3	5.5	4.6	6.8	2.6	5.5	6.4	10.5	2.8	5.5	4.0	3.7	4.3	3.8	4.5	3.8	6.2	3.4	4.3
2014-01-01	3.7	10.0	5.8	5.3	3.9	3.3	4.3	3.2	3.2	3.0	2.6	4.4	1.9	4.3	6.5	3.5	2.7	10.6	4.6	6.8	5.8	4.6	4.2	5.6	3.7	3.2	11.2	2.4	4.6	4.3	9.1	4.4	4.1	5.6	4.2	5.4	4.9	3.1	5.0	4.3	6.1	2.4	5.2	5.7	9.3	2.6	4.9	3.8	3.5	3.7	3.0	4.0	3.0	5.0	3.1	3.7
2015-01-01	3.4	6.7	5.0	5.1	3.7	3.2	4.0	3.3	3.3	2.5	3.1	4.0	2.3	4.1	5.7	3.0	2.7	9.0	4.2	6.2	4.2	4.1	3.4	5.0	3.4	2.6	10.0	2.2	3.6	3.6	8.4	3.9	4.3	4.8	5.3	5.0	4.4	2.5	4.4	4.1	5.2	3.2	5.2	5.3	8.3	2.5	4.3	3.7	2.8	3.8	3.4	5.0	3.1	5.4	3.3	3.3
2016-01-01	3.3	7.2	4.6	4.9	3.9	2.9	4.0	3.8	3.5	2.6	3.9	3.8	3.6	3.9	5.6	2.8	2.8	8.6	4.4	5.9	4.3	4.6	3.4	4.7	3.3	3.1	9.0	2.0	3.8	4.0	7.6	3.7	5.1	4.3	4.8	5.3	4.2	2.3	5.0	3.4	4.8	5.0	5.3	5.5	7.8	3.3	4.3	4.0	3.1	3.7	3.5	4.5	3.4	5.1	3.8	3.6
